Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-BR-A4J4-01A-12R-A251-31	0.102156244	0	0	0.024447341	0	0.324116026	0.017616805	0.002060512	0.079882035	0.000584266	0	0.019146527	0.003556257	0.004168963	0.143920359	0.101366489	0.159859881	0	0	0.017118294	0	0
TCGA-IN-A7NT-01A-21R-A354-31	0.007514663	0	0.000791329	0.058401474	0	0	0	0.042354433	0.060934904	0	0	0.003233991	0	0.231445791	0.022986965	0.093091693	0	0.187181189	0	0.278926536	0	0.013137032
TCGA-RD-A8N2-01A-12R-A36D-31	0.100701945	0	0	0.17173349	0	0.235788538	0.0255386	0.000735955	0.033823056	0	0	0.015160596	0.020829314	0	0.026778174	0.213370242	0.052805552	0.030045615	0.072688925	0	0	0
TCGA-RD-A8N1-01A-12R-A36D-31	0.117539357	0.006028618	0.048564005	0.116203418	0	0.239565335	0.037011081	0.02447297	0.107494919	0	0	0.011283044	0	0.126087122	0.053510299	0.079309942	0.017148552	0.005492219	0.010289118	0	0	0
TCGA-MX-A5UJ-01A-11R-A31P-31	0.136427253	0	0.004681179	0.113896485	0	0.335867159	0.004148929	0.056166075	0.008926196	0	0	0.008041271	0.00424248	0.038580293	0.088475283	0.100694848	0	0.009302259	0.037844942	0.037302279	0	0.015403068
TCGA-FP-A4BF-01A-12R-A36D-31	0.028755807	0	0.053690302	0.173848064	0	0.209787324	0.154292139	0.031753154	0	0.014419113	0.00681559	0.017136816	0	0.078289729	0.069626807	0.141677407	0.004816137	0.000763924	0.013546736	0	0.000780951	0
TCGA-BR-8077-01A-11R-2343-13	0.12253951	0	0.052696716	0.12253939	0	0.161597793	0.137327195	0.007511246	0.02799485	0	0	0.019861518	0.006800033	0.147859276	0.068886587	0.059867767	0.034516845	0.007349012	0.020804193	0	0	0.001848068
TCGA-FP-8210-01A-11R-2343-13	0.134541442	0.088801489	0.02533683	0.175383198	0	0.155405655	0.016935356	0.02374838	0.086869644	0	0	0.02432969	0.000804919	0.045268488	0.030414876	0.050047435	0.054349837	0.030151374	0.046845201	0	0	0.010766187
TCGA-CD-8531-01A-11R-2343-13	0	0.520117451	0.071827479	0.01254673	0	0.024288058	0.00586653	0.038140869	0.010795861	0.002882936	0.000586894	0	0	0.007466103	0	0.14215233	0	0.157877294	0	0.005451466	0	0
TCGA-CG-5721-01A-11R-1602-13	0.021003796	0.00210485	0.008919329	0.279841485	0	0.102464837	0.158028018	0.046818829	0.006783138	0	0.020976045	0.013057625	0	0.074648401	0.11332834	0.088020609	0.038143257	0	0.025861441	0	0	0
