id	logFC	AveExpr	t	pvalue	fdr	B
hsa_circ_0007832	-1.494583	8.123063515625	-12.3765860088509	5.11923714081548e-07	0.0032656042094369	6.68196374968294
hsa_circ_0088036	2.07183278125	9.123517734375	11.1830583422261	1.2275994273044e-06	0.0032656042094369	5.92862313821053
hsa_circ_0080968	2.407973171875	9.8960656953125	11.0484533694073	1.36181037080892e-06	0.0032656042094369	5.83728503212689
hsa_circ_0000680	1.77568653125	8.561919171875	10.6000077830071	1.93986064949858e-06	0.0032656042094369	5.52287413227318
hsa_circ_0000812	2.03158103125	8.30675290625	10.3234947065169	2.4285108825727e-06	0.0032656042094369	5.32093832151268
hsa_circ_0002375	-1.520782234375	6.2907798984375	-10.1654304039707	2.76774270699667e-06	0.0032656042094369	5.20262383932679
hsa_circ_0009043	-1.01962390625	6.763840375	-9.57348306534108	4.58853108342575e-06	0.0032656042094369	4.73999164190515
hsa_circ_0006349	2.4590465625	12.74049721875	9.57188290491349	4.59496777577873e-06	0.0032656042094369	4.73869772077691
hsa_circ_0052165	1.43148740625	7.95180453125	9.53963726007596	4.7268160987911e-06	0.0032656042094369	4.71257198231453
hsa_circ_0004315	1.921236953125	7.5042370703125	9.49954961743732	4.89656282158428e-06	0.0032656042094369	4.67995586286226
hsa_circ_0005425	-1.435046125	7.420876125	-9.35299285066214	5.57662612831732e-06	0.0032656042094369	4.55941107220966
hsa_circ_0000877	1.221166015625	8.2797741328125	9.32110440431358	5.7379657385336e-06	0.0032656042094369	4.53290848401753
hsa_circ_0003524	1.07753840625	7.3604625625	9.1898907537462	6.45798162988022e-06	0.0032656042094369	4.42281083667622
hsa_circ_0002073	1.68844184375	8.758291453125	9.05742474562067	7.28687833082512e-06	0.0032656042094369	4.30993170200242
hsa_circ_0060176	1.412745453125	7.4738611015625	8.86045287939011	8.74373234435251e-06	0.0032656042094369	4.13879818788442
hsa_circ_0039908	2.8283120625	11.02577696875	8.85577409799002	8.78201991232175e-06	0.0032656042094369	4.13468460850401
hsa_circ_0001320	-1.281567609375	7.0179452109375	-8.84456190818016	8.87452324408273e-06	0.0032656042094369	4.12481760202625
hsa_circ_0012173	1.024029453125	6.6229637890625	8.8165313779892	9.11049725520436e-06	0.0032656042094369	4.10009273763907
hsa_circ_0008234	-1.335982375	6.9153725625	-8.71147034373354	1.00582350582817e-05	0.0032656042094369	4.00668826000847
hsa_circ_0060144	1.868975609375	10.7781666015625	8.69549855482933	1.0211564820482e-05	0.0032656042094369	3.99238643533487
hsa_circ_0005777	-1.103894421875	5.9152096328125	-8.68099583997834	1.03530160374296e-05	0.0032656042094369	3.97937658654779
hsa_circ_0002286	-1.46222465625	5.711416890625	-8.64064263689945	1.07580429154183e-05	0.0032656042094369	3.94305914314733
hsa_circ_0047641	1.405705703125	7.4802918515625	8.6298908808652	1.08688709142452e-05	0.0032656042094369	3.93335327874351
hsa_circ_0037798	1.995285171875	11.3649711796875	8.59174590268621	1.12722906351053e-05	0.0032656042094369	3.89881868010961
hsa_circ_0004397	1.823352953125	6.6079354453125	8.59043343464683	1.12864606061463e-05	0.0032656042094369	3.89762764631132
hsa_circ_0009624	1.6719895	8.1521686875	8.56192355210306	1.15991406346119e-05	0.0032656042094369	3.87170965627869
hsa_circ_0008584	2.078875515625	9.1506190859375	8.49777961921148	1.23379624372834e-05	0.00334495870521906	3.81307459708158
hsa_circ_0005307	0.934826656250002	6.7079310625	8.37685406255626	1.38752893428436e-05	0.00352335143091745	3.7013074220343
hsa_circ_0000809	0.883186093749998	8.169119015625	8.3643137567628	1.4046369864419e-05	0.00352335143091745	3.68962423649991
hsa_circ_0090446	1.505449328125	7.8602498984375	8.2927139537247	1.50685731785492e-05	0.00352335143091745	3.6225815759221
hsa_circ_0092314	0.843002234374998	8.0354794609375	8.26941983021039	1.54185076362009e-05	0.00352335143091745	3.6006459142095
hsa_circ_0001845	-1.82738809375	8.840354578125	-8.24680904193582	1.57667156664083e-05	0.00352335143091745	3.57929511919219
hsa_circ_0001955	2.3350261875	9.0035658125	8.23931871248945	1.58839613688901e-05	0.00352335143091745	3.5722094254925
hsa_circ_0001055	-1.2441575625	6.379375625	-8.1535457230739	1.7296909422509e-05	0.00355057011165474	3.49061461333487
hsa_circ_0007507	-1.40626525	12.657954125	-8.15211884332778	1.73215503266379e-05	0.00355057011165474	3.48925012546539
hsa_circ_0050998	1.07534365625	6.982535453125	8.08978010500946	1.84365725562839e-05	0.00355057011165474	3.42940833428252
hsa_circ_0058495	1.570328203125	9.6878156484375	8.08734044155896	1.84817805635006e-05	0.00355057011165474	3.42705726245385
hsa_circ_0080289	1.021952125	7.36996896875	8.08245264377746	1.85727194970491e-05	0.00355057011165474	3.4223448801905
hsa_circ_0003596	1.43129809375	7.098455234375	8.06418441876756	1.89169719063572e-05	0.00355057011165474	3.40470773222267
hsa_circ_0038718	1.139697234375	8.3976864609375	7.98811771910098	2.04274829071854e-05	0.00359916385145507	3.33085053451509
hsa_circ_0005699	1.9079189375	9.73564525	7.9791048261893	2.06150431632625e-05	0.00359916385145507	3.32205453056653
hsa_circ_0003312	-1.542979859375	7.2274303515625	-7.97739010152528	2.06509401312996e-05	0.00359916385145507	3.32037998792847
hsa_circ_0071312	1.878324859375	9.7245831640625	7.85291927856993	2.34490104372707e-05	0.0039569886379104	3.19789661118004
hsa_circ_0007705	1.063908421875	8.1936474140625	7.83275788915652	2.39401207276755e-05	0.0039569886379104	3.17788343452458
